key,nama
11.02.10.2008,Lawe Berigin Gayo
11.02.10.2008,Lawe Beringin Gayo
11.03.03.2065,SeuneuboK Teungoh
11.06.02.2023,Meunasah Mesjid Lampuuk
11.06.22.2004,Meunasah Mesjid
11.07.06.2022,Pulo Lon
11.07.06.2030,Dayah Pisang
11.07.17.2038,lameue Meunasah Raya
11.07.17.2039,Lameue Meunasah Baro
11.07.17.2040,Lameue Meunasah Lueng
11.07.21,Tiro
11.07.29.2001,Ukee Bungkok
11.08.14,Tanah Jambo Aye
11.08.17.2003,Kampung Bantan
11.08.17.2007,Kampung Tempel
11.08.20.2002,Teungku Dibanda Pirak
11.08.20.2032,Teungku Dibanda Tektek
11.11.03.2051,Teungku Di Bathon
11.11.05.2003,Matang Glumpang II Meunasah Timur
11.16.04.2015,Perkebunan Gedung Biara
11.17.02.2006,Gelampang Wih Tenang Uken
11.73.01.2011,Meunasah Panggoi
11.74.02.2006,Paya Bujok Teungoh
11.74.02.2007,Paya Bujok Beuramo
12.01.05.1001,Pasar Onan Manduamas
12.01.06.1006,Pasar Onan Hurlang
12.01.14.2005,Tapian Nauli Saur Manggita
12.02.08.2004,Pardomuan Janji Angkola
12.02.08.2011,Parsaoran Janji Angkola
12.04.20.2005,Lalai I
12.05.01.2009,Perkebunan Bukit Lawang
12.05.04.2011,Pasar IV Namo Terasi
12.05.04.2012,Pasar VIII Namo Terasi
12.07.28.1007,Lubuk Pakam I-II
12.09.13.2008,Perkebunan Air Batu I-II
12.09.13.2009,Perkebunan Air Batu III-IX
12.09.18.2002,Aek Loba Afdeling I
12.09.23.2002,Perkebunan Sei Dadap I-II
12.09.23.2003,Perkebunan Sei Dadap III-IV
12.10.07.2006,Perkebunan Afdeling I Rantau Prapat
12.10.07.2007,Perkebunan Afdeling II Rantau Prapat
12.12.02.2004,Sibarani Nasampulu
12.13.06.2011,Muara Batang Angkola
12.13.14.2015,Perkebunan Simpang Gambir
12.18.07.2009,Afdeling VI Dolok Ilir
12.18.07.2011,Afdeling VII Dolok Ilir
12.18.13.2010,Sei Priok
12.20.01.2041,Tanjung Baru Silaiya
12.21.02.2005,Pp Makmur
12.22.01.2010,Perkebunan Sei Rumbia
12.22.02.2001,Perkebunan Perlabian
12.22.02.2002,Perkebunan Teluk Panji
12.22.02.2003,Perkebunan Tolan I-II
12.22.02.2004,Perkebunan Batang Saponggol
12.22.02.2005,Perkebunan Tolan
12.23.04.2003,Perkebunan Padang Halaban
12.23.05.2003,Perkebunan Marbau Selatan
12.23.07.2006,Perkebunan Aek Pamienke
12.71.10.1004,Sei Rengas Permata
12.71.15.1001,Aur
12.71.15.1003,Jati
13.02.06.2006,Selayo Tanang Bukit Sileh
13.02.19.2001,Simpang Tanjung Nan IV
13.07.04.2001,Nagari Tanjung Haro Sikabu-kabu
13.73.01.1003,Kubang Sirakuk Selatan
14.02.09.2010,Lambang Sari I-III
14.08.02.2004,Parit I-II
15.01.08.2007,Koto Tuo Pulau Tengah
15.01.08.2008,Koto Dian Pulau Tengah
15.01.08.2013,Dusun Baru Pulau Tengah
15.02.05.1003,Pasar Rantau Panjang
15.02.05.1036,Pasar Baru Rantau
15.02.13.2005,Simpang Limbur Merangin
15.03.01.2008,Pulau Salak Baru
15.04.06.1014,Simpang Sungai Rengas
15.05.05.2001,Tanjung Pauh KM 32
15.05.05.2011,Tanjung Pauh KM 39
15.07.05,Sadu
15.08.07.2002,Tuo Lubuk Mengkuang
15.08.07.2008,Baru Lubuk Mengkuang
15.08.07.2009,Lubuk Tanah Terban
15.72.04.2012,Koto Baru Tanah Kampung
16.04.10.1043,Rumah Dinas PJKA Lahat
16.04.10.1054,Rumah Dinas PJKA Bandar Agung
16.04.25.2010,Trans SP II Padang Muara Dua
16.05.01.1001,Srikaton
16.05.14.2002,Gunung Kembang Baru
16.05.14.2003,Gunung Kembang Lama
16.05.14.2006,Pangkalan Tarum Lama
16.05.14,Bulang Tengah Suku Ulu
16.08.07.2007,SP Kerta Mulya
16.10.04.2010,Muara Penimbung Ulu
16.10.04.2015,Muara Penimbung Ilir
16.10.05.2029,Simpang Pelabuhan Dalam
16.10.09.2011,Sungai Lebung Ulu
16.10.12.2011,Sungai Pinang Lagati
16.10.12.2012,Sungai Pinang Nibung
16.11.02.2022,Gunung Meraksa Baru
16.11.03.2009,Lubuk Puding Baru
16.11.03.2011,Lubuk Puding Lama
16.11.04.1017,Pasar Tebing Tinggi
16.11.04.2002,Lubuk Gelanggang
16.11.06.2004,Pasar Talang Padang
16.71.01.1001,Tiga Puluh Lima Ilir
16.71.01.1002,Tiga Puluh Dua Ilir
16.71.01.1003,Tiga Puluh Ilir
16.71.01.1004,Dua Puluh Sembilan Ilir
16.71.01.1005,Dua Puluh Delapan Ilir
16.71.01.1006,Dua Puluh Tujuh Ilir
16.71.03.1001,Sebelas Ulu
16.71.03.1002,Dua Belas Ulu
16.71.03.1003,Tiga Belas Ulu
16.71.03.1004,Empat Belas Ulu
16.71.03.1005,Enam Belas Ulu
16.71.04.1003,Dua Puluh Enam Ilir Satu
16.71.05.1001,Delapan Belas Ilir
16.71.05.1002,Enam Belas Ilir
16.71.05.1003,Tiga Belas Ilir
16.71.05.1004,Empat Belas Ilir
16.71.05.1005,Lima Belas Ilir
16.71.05.1006,Tujuh Belas Ilir
16.71.05.1007,Dua Puluh Ilir Tiga
16.71.05.1008,Dua Puluh Ilir Empat
16.71.05.1009,Dua Puluh Ilir Satu
16.71.05.1011,Kepandean Baru
16.71.09.1001,Dua Puluh Ilir Dua
16.71.11.1001,Sembilan Belas Ilir
16.71.11.1002,Dua Puluh Dua Ilir
16.71.11.1003,Dua Puluh Tiga Ilir
16.71.11.1004,Dua Puluh Empat Ilir
16.71.11.1005,Dua Puluh Enam Ilir
16.71.12.1003,Tiga Puluh Enam Ilir
16.71.17.1003,Lima Belas Ulu
17.02.23.2005,Lubuk Belimbing I
17.02.23.2006,Lubuk Belimbing II
17.02.23.2007,Lubuk Bingin Baru
17.03.12.2019,Melati Harjo
17.08.05.2005,Simpang Kota Bingin
18.02.04.1006,Gunung Sugih Raya
19.04.01.2005,Kurau Timur
21.03.18.2002,Cemaga Selatan
21.03.18.2003,Cemaga Utara
32.03.31.2004,Mekarwangi
32.05.38,Balubur Limbangan
35.14.06.2021,Tundosoro
35.27.03.2001,Pulau Mandangin
35.78.05.1002,Dr. Soetomo
51.03.04.2003,Belok Sidan
52.04.13.2008,SP I Prode
52.04.13.2009,SP II Prode
52.04.13.2010,SP III Prode
53.03.11.2005,Nian
62.04.05,Gunung Bintang Awai
62.11.02.2002,Papuyu II Sei Barunai
62.11.02.2005,Papuyu I Sei Pasanan
62.11.02.2006,Sei Rungun
62.11.02.2014,Papuyu III Sei Pudak
62.13.02.1001,Pasar Panas
63.05.01.2006,Ahmad Yani Pura
63.06.08.2011,Mandala Murung Mesjid
71.03.12.2009,Bebu
71.03.12.2012,Dagho
71.04.02.1005,Beo
71.04.03.2003,Alo
71.04.03.2004,Nunu
71.04.03.2005,Rainis
71.04.04.2006,Essang
71.04.08.2004,Gemeh
71.04.10.2003,Riung
71.04.10.2004,Ammat
71.04.19.2008,Kuma
71.06.04.2010,Mantehage Buhias
71.06.04.2011,Mantehage Bango
74.05.24.2009,Wonuakoa
81.71.04.2001,Hunuth
82.01.05.2021,Taba Damai
82.03.06.2022,Kupa-Kupa Selatan
82.03.08.2025,Sosol
82.03.11.2008,Mahia
82.03.11.2008,Mahia
82.03.11.2009,Tanjung Niara
91.10.13.2003,Waskey
91.10.14.2003,Timron
91.15.08.2001,Sanggae
91.15.08.2004,Paradoi
91.20.07.2005,Teuw
92.06.07.2001,Idoor
92.06.07.2002,Yakati
92.06.08.2001,Fruata
93.03.01.2004,Yamui
93.03.01.2012,Kadam Oyim
93.03.02.2003,Koba
93.03.08.2003,Taim
93.03.08.2009,Gayu
93.04.13.2001,Warse
93.04.13.2002,Amborep
93.04.25.2006,Fakan
94.05.20.2002,Pinggil
94.08.05.2001,Komauto
95.04.12,Kondaga
95.04.13.2011,Barename
95.04.13.2012,Yilogonime
95.04.29.2002,Wari
95.04.29.2005,Arebe
95.04.29.2011,Dustra
95.04.29.2016,Kabupaga
95.04.29,Wari
95.04.30.2001,Dow
95.04.44.2005,Leragawi
95.04.45.2003,Yiluk
95.04.45.2006,Yiyogobak
95.04.45.2008,Mbinime
95.04.45.2010,Gubagi
96.03.01,Misool
96.05.18.2007,Faitwosur
